Frame,Frametime,glfwPollEvents,InputUpdate,PlayerUpdate,WorldUpdate,Raycasting,CsvStuff,Draw UI,Update,ImGuiRender,WorldDrawChunks,DrawChunks,OpenGLRender,ChunkBuildMesh
3564,8597,15,18,1,0,0,7,9,28,44,87,89,104,
3565,7908,15,17,2,0,0,7,10,28,42,71,73,90,
3566,8831,52,55,2,0,0,7,11,68,40,72,75,94,
3567,7902,18,21,2,0,0,9,6,34,42,68,69,81,
3568,8585,13,15,2,0,0,7,12,26,46,90,92,110,
3569,7930,14,18,1,0,0,9,10,31,44,88,92,109,
3570,8548,14,17,2,0,0,6,9,27,40,72,78,94,
3571,8127,15,17,2,0,0,6,12,27,68,71,75,95,
3572,8777,14,16,2,0,0,7,10,27,41,67,69,84,
3573,7882,15,19,1,0,0,7,9,30,44,89,92,107,
3574,8699,14,17,2,0,0,9,11,30,55,87,91,110,
3575,8167,15,19,1,0,0,6,11,29,50,70,72,89,
3576,8594,15,17,2,0,0,8,9,28,45,72,74,89,
3577,8118,15,18,2,0,0,7,7,29,43,69,71,84,
3578,8308,15,18,1,0,0,8,12,29,51,89,91,111,
3579,8488,16,19,2,0,0,7,8,30,46,74,77,91,
3580,8380,16,19,2,0,0,6,10,31,52,71,73,90,
3581,8106,15,21,2,0,0,7,10,32,42,71,73,89,
3582,8487,14,18,1,0,0,6,10,28,45,74,77,94,
3583,8071,15,18,1,0,0,9,8,32,55,82,84,99,
3584,8667,16,19,2,0,0,9,11,33,56,95,99,117,
3585,7953,18,21,2,0,0,9,13,35,61,105,108,129,
3586,8774,15,18,2,0,0,7,10,29,43,67,69,85,
3587,8040,16,18,2,0,0,6,8,28,45,79,81,94,
3588,8604,17,20,2,0,0,10,8,35,62,93,95,111,
3589,8030,14,18,1,0,0,8,10,29,43,71,73,89,
3590,8470,38,41,3,0,0,11,8,58,57,98,101,116,
3591,7970,14,17,1,0,0,6,8,27,43,71,73,86,
3592,9167,12,15,1,0,0,6,6,24,39,63,65,76,
3593,7585,48,52,3,0,0,9,11,66,57,76,79,102,
3594,8780,15,19,1,0,0,7,7,29,57,71,73,86,
3595,7921,15,19,1,0,0,7,10,29,42,71,73,89,
3596,8701,14,17,2,0,0,7,9,28,46,73,75,90,
3597,8015,11,14,2,0,0,7,10,25,44,76,79,94,
3598,8463,14,18,2,0,0,7,11,29,43,80,82,99,
3599,8088,13,16,2,0,0,7,6,27,44,68,70,81,
3600,9111,15,19,2,0,0,6,10,29,50,69,71,93,
3601,7540,14,17,2,0,0,8,10,29,44,72,74,91,
3602,8809,114,118,2,0,0,8,7,132,41,75,77,91,
3603,8028,14,17,3,0,0,7,8,28,44,80,82,97,
3604,8738,14,16,2,0,0,7,7,27,44,81,83,97,
3605,8393,11,13,2,0,0,7,10,24,43,69,71,88,
3606,8681,21,24,2,0,0,10,8,40,58,87,89,104,
3607,7583,14,17,1,0,0,7,8,28,42,69,71,85,
3608,8505,17,20,2,0,0,9,9,33,62,102,106,122,
3609,8080,17,20,2,0,0,8,16,32,55,122,126,150,
3610,9110,18,21,2,0,0,10,9,35,59,85,88,109,
3611,7669,40,45,2,0,0,12,10,63,66,93,96,113,
3612,8646,14,17,1,0,0,6,9,27,43,82,84,100,
3613,7908,13,16,2,0,0,7,11,28,44,73,76,93,
3614,8622,15,19,2,0,0,8,9,31,49,73,75,90,
3615,8201,16,20,2,0,0,20,6,44,45,76,78,90,
3616,8584,14,17,2,0,0,6,9,28,44,69,72,87,
3617,7833,14,17,2,0,0,6,8,27,42,72,75,89,
3618,9000,15,18,2,0,0,6,10,28,62,89,91,110,
3619,7626,57,62,3,0,0,10,11,80,64,93,96,117,
3620,8874,15,17,2,0,0,6,10,28,41,68,70,87,
3621,7824,12,14,2,0,0,6,9,24,47,72,75,90,
3622,8627,15,19,2,0,0,7,10,30,49,72,74,90,
3623,8054,14,17,1,0,0,6,10,27,41,72,74,90,
3624,8735,15,18,2,0,0,9,12,30,40,68,70,88,
3625,8051,14,16,2,0,0,8,8,28,41,72,75,89,
3626,8446,14,17,2,0,0,7,8,27,60,74,77,93,
3627,8144,14,17,1,0,0,7,11,27,44,70,72,89,
3628,9006,14,17,1,0,0,7,13,27,42,74,76,95,
3629,7755,13,16,1,0,0,7,12,26,46,73,75,93,
3630,8578,13,16,2,0,0,6,10,27,39,69,71,86,
3631,8064,15,18,2,0,0,6,7,29,42,76,78,92,
3632,9242,15,19,1,0,0,6,12,29,48,93,95,114,
3633,7370,14,17,4,0,0,7,10,31,40,70,72,89,
3634,8654,13,16,1,0,0,6,9,26,53,84,86,101,
3635,7965,17,20,2,0,0,8,8,33,42,69,71,84,
3636,8968,14,16,1,0,0,6,7,26,49,70,72,84,
3637,7780,13,15,1,0,0,7,7,26,46,69,71,84,
3638,8625,15,18,2,0,0,6,9,28,42,73,76,91,
3639,7974,14,16,1,0,0,6,8,26,42,78,80,94,
3640,8693,13,15,1,0,0,6,9,25,43,69,71,87,
3641,8107,13,16,1,0,0,7,9,26,43,66,68,83,
3642,8611,16,18,2,0,0,6,8,28,43,74,77,90,
3643,7898,16,19,2,0,0,9,13,33,56,102,106,126,
3644,8606,13,17,1,0,0,6,11,26,38,72,74,91,
3645,8184,13,16,1,0,0,7,9,26,43,73,75,90,
3646,8475,15,17,1,0,0,6,12,27,65,70,72,92,
3647,7991,14,17,2,0,0,7,12,28,43,82,85,104,
3648,8866,14,16,1,0,0,6,10,26,42,81,83,99,
3649,7984,13,16,2,0,0,6,7,26,44,68,70,84,
3650,8573,78,81,1,0,0,8,12,93,41,82,85,103,
3651,8190,14,16,2,0,0,6,8,26,44,76,78,93,
3652,9021,15,17,2,0,0,7,10,28,48,78,80,96,
3653,7606,130,134,3,0,0,7,12,146,43,72,74,93,
3654,8559,13,15,1,0,0,7,9,25,56,81,84,100,
3655,7933,16,19,2,0,0,6,8,29,44,77,80,97,
3656,8935,13,16,2,0,0,7,8,27,42,66,68,82,
3657,7756,16,18,2,0,0,8,11,31,56,94,97,114,
3658,8557,14,16,1,0,0,6,11,26,42,68,71,87,
3659,8275,15,17,1,0,0,7,9,29,45,89,91,107,
3660,8605,16,19,3,0,0,8,8,32,47,74,77,91,
3661,7967,14,16,2,0,0,6,7,26,44,68,70,83,
3662,8493,17,21,2,0,0,9,11,34,57,92,95,113,
3663,8262,14,17,2,0,0,6,8,28,44,70,73,87,
3664,8439,86,90,3,0,0,10,11,107,62,91,94,113,
3665,8161,14,17,2,0,0,6,10,28,54,68,70,88,
3666,8547,13,16,1,0,0,6,9,26,45,73,75,91,
3667,8069,15,18,2,0,0,7,9,28,40,68,70,84,
3668,8494,14,17,1,0,0,6,11,27,46,69,71,88,
3669,8279,13,16,1,0,0,7,10,26,42,70,72,87,
3670,8548,15,18,2,0,0,7,9,31,41,71,73,87,
3671,7930,16,19,2,0,0,8,8,31,43,71,73,88,
3672,8640,13,16,1,0,0,7,12,26,48,87,90,109,
3673,8177,110,114,3,0,0,11,12,131,62,95,98,117,
3674,8450,15,18,2,0,0,6,9,28,47,85,88,105,
3675,8120,17,21,3,0,0,8,9,35,49,89,92,107,
3676,8563,17,19,1,0,0,7,8,30,48,71,73,87,
3677,8137,14,17,2,0,0,9,14,30,41,87,89,110,
3678,8960,14,18,1,0,0,7,10,29,42,71,73,89,
3679,7843,17,22,2,0,0,9,9,35,69,83,86,102,
3680,8871,141,144,2,0,0,10,10,159,43,73,74,91,
3681,7691,54,59,3,0,0,12,15,77,61,97,99,124,
3682,8928,15,18,1,0,0,8,7,29,47,69,71,85,
3683,7768,18,21,3,0,0,19,60,46,53,89,91,158,
3684,8659,37,40,2,0,0,9,9,54,61,92,94,110,
3685,7974,17,20,2,0,0,8,9,33,57,89,92,108,
3686,8571,49,52,2,0,0,6,10,63,44,72,74,90,
3687,8034,14,17,2,0,0,7,10,28,42,70,72,88,
3688,8748,13,16,2,0,0,7,10,26,41,78,80,96,
3689,7895,16,19,2,0,0,9,8,33,62,91,93,108,
3690,8610,19,22,1,0,0,7,7,32,44,71,73,86,
3691,8339,14,17,2,0,0,7,7,27,41,68,70,83,
3692,8300,24,27,1,0,0,7,9,38,51,72,74,89,
3693,8178,17,19,2,0,0,10,10,33,46,69,72,88,
